country,region,study,n,n_pos,seroprev,agerange,measure,tmin,tmax,population,assay,sensitivity,specificity,notes,n_pos_raw,seroprev_raw,adjusted,source,
Scotland,Scotland,Scotland-1,500,7,0.013,18-75,IgG/IgM,21/03/2020,23/03/2020,blood donors,"pseudotyped microneutralization assay, confirmed with ELISA",0.9411,1,"in house assays, unknown sens & spec",6,0.012,,https://www.medrxiv.org/content/10.1101/2020.04.13.20060467v1.full.pdf,
Belgium,Belgium,Belgium-1,900,43,0.048,18-75,IgG,14/04/2020,16/04/2020,blood donors,NA,NA,NA,,NA,,population demographics,https://covid-19.sciensano.be/sites/default/files/Covid19/COVID-19_Weekly%20report_20200626%20-%20FR.pdf,
Belgium,Belgium,Belgium-1,900,42,0.047,18-75,IgG,27/04/2020,29/04/2020,blood donors,NA,NA,NA,,NA,,population demographics,https://covid-19.sciensano.be/sites/default/files/Covid19/COVID-19_Weekly%20report_20200626%20-%20FR.pdf,
Belgium,Belgium,Belgium-1,900,42,0.047,18-75,IgG,11/05/2020,13/05/2020,blood donors,NA,NA,NA,,NA,,population demographics,https://covid-19.sciensano.be/sites/default/files/Covid19/COVID-19_Weekly%20report_20200626%20-%20FR.pdf,
Belgium,Belgium,Belgium-1,900,46,0.051,18-75,IgG,25/05/2020,27/05/2020,blood donors,NA,NA,NA,,NA,,population demographics,https://covid-19.sciensano.be/sites/default/files/Covid19/COVID-19_Weekly%20report_20200626%20-%20FR.pdf,
Belgium,Belgium,Belgium-1,900,39,0.043,18-75,IgG,08/06/2020,10/06/2020,blood donors,NA,NA,NA,,NA,,population demographics,https://covid-19.sciensano.be/sites/default/files/Covid19/COVID-19_Weekly%20report_20200626%20-%20FR.pdf,
Belgium,Belgium,Belgium-2,3910,94,0.024,0-101,IgG,30/03/2020,05/04/2020,general population,EuroImmun ELISA,0.878,0.992,,NA,0.029,population demographics,https://www.medrxiv.org/content/10.1101/2020.06.08.20125179v2.full.pdf+html,
Belgium,Belgium,Belgium-2,3397,204,0.06,0-101,IgG,20/04/2020,26/04/2020,general population,EuroImmun ELISA,0.878,0.992,,NA,0.06,population demographics,https://www.medrxiv.org/content/10.1101/2020.06.08.20125179v2.full.pdf+html,
Belgium,Belgium,Belgium-2,3242,227,0.07,0-101,IgG,18/05/2020,25/05/2020,general population,EuroImmun ELISA,0.878,0.992,,NA,0.069,population demographics,https://www.medrxiv.org/content/10.1101/2020.06.08.20125179v2.full.pdf+html,
Belgium,Belgium,Belgium-2,2960,160,0.054,0-101,IgG,08/06/2020,13/06/2020,general population,EuroImmun ELISA,0.878,0.992,,NA,0.055,population demographics,https://www.medrxiv.org/content/10.1101/2020.06.08.20125179v2.full.pdf+html,
Belgium,Belgium,Belgium-2,3023,130,0.043,0-101,IgG,29/06/2020,03/07/2020,general population,EuroImmun ELISA,0.878,0.992,,NA,0.045,population demographics,https://www.medrxiv.org/content/10.1101/2020.06.08.20125179v2.full.pdf+html,
Denmark,Denmark,Denmark,4072,61,0.015,17-69,IgG/IgM,06/04/2020,03/05/2020,blood donors,lateral flow immunoassay (Livzon Diagnostics),0.8258,0.9954,,NA,NA,test performance,https://bloddonor.dk/coronavirus/,https://academic.oup.com/cid/advance-article/doi/10.1093/cid/ciaa849/5862661
Denmark,Denmark,Denmark,5326,101,0.019,17-69,IgG/IgM,14/04/2020,19/04/2020,blood donors,lateral flow immunoassay (Livzon Diagnostics),0.8258,0.9954,,NA,NA,test performance,https://bloddonor.dk/coronavirus/,https://academic.oup.com/cid/advance-article/doi/10.1093/cid/ciaa849/5862662
Denmark,Denmark,Denmark,5820,93,0.016,17-69,IgG/IgM,20/04/2020,26/04/2020,blood donors,lateral flow immunoassay (Livzon Diagnostics),0.8258,0.9954,,NA,NA,test performance,https://bloddonor.dk/coronavirus/,https://academic.oup.com/cid/advance-article/doi/10.1093/cid/ciaa849/5862663
Denmark,Denmark,Denmark,5422,130,0.024,17-69,IgG/IgM,27/04/2020,03/05/2020,blood donors,lateral flow immunoassay (Livzon Diagnostics),0.8258,0.9954,,NA,NA,test performance,https://bloddonor.dk/coronavirus/,https://academic.oup.com/cid/advance-article/doi/10.1093/cid/ciaa849/5862664
Spain,Spain,Spain,51958,2338,0.045,0+,IgG,27/04/2020,11/05/2020,general population,rapid immunochromatography test (Orient Gene),0.821,1,,3054,0.05,,https://www.ciencia.gob.es/stfls/MICINN/Ministerio/FICHEROS/INFORME_SEGUNDA_RONDA.pdf,
France,France,France,3529,174,0.0493,0+,IgG,11/05/2020,17/05/2020,general population,"LuLISA (Luciferase-Linked ImmunoSorbent Assay), Pasteur IgG ELISA & Pseudoneutralization assay",90.5,1,,NA,NA,test performance,https://www.santepubliquefrance.fr/maladies-et-traumatismes/maladies-et-infections-respiratoires/infection-a-coronavirus/documents/bulletin-national/covid-19-point-epidemiologique-du-9-juillet-2020,
Sweden,Sweden,Sweden-1,1200,62,0.052,0-95,,20/04/2020,26/04/2020,non-COVID hospital outpatients,multiplex method (Sci LifeLab/KTH),0.989,0.994,,NA,NA,test performance,https://www.folkhalsomyndigheten.se/contentassets/9c5893f84bd049e691562b9eeb0ca280/pavisning-antikroppar-genomgangen-covid-19-blodprov-oppenvarden-delrapport-1.pdf,
Sweden,Sweden,Sweden-1,1200,49,0.041,0-95,,27/04/2020,03/05/2020,non-COVID hospital outpatients,multiplex method (Sci LifeLab/KTH),0.989,0.994,,NA,NA,test performance,https://www.folkhalsomyndigheten.se/contentassets/9c5893f84bd049e691562b9eeb0ca280/pavisning-antikroppar-genomgangen-covid-19-blodprov-oppenvarden-delrapport-1.pdf,
Sweden,Sweden,Sweden-1,1200,49,0.041,0-95,,04/05/2020,10/05/2020,non-COVID hospital outpatients,multiplex method (Sci LifeLab/KTH),0.989,0.994,,NA,NA,test performance,https://www.folkhalsomyndigheten.se/contentassets/9c5893f84bd049e691562b9eeb0ca280/pavisning-antikroppar-genomgangen-covid-19-blodprov-oppenvarden-delrapport-1.pdf,
Sweden,Sweden,Sweden-1,1200,55,0.046,0-95,,11/05/2020,17/05/2020,non-COVID hospital outpatients,multiplex method (Sci LifeLab/KTH),0.989,0.994,,NA,NA,test performance,https://www.folkhalsomyndigheten.se/contentassets/9c5893f84bd049e691562b9eeb0ca280/pavisning-antikroppar-genomgangen-covid-19-blodprov-oppenvarden-delrapport-1.pdf,
Sweden,Sweden,Sweden-1,1200,65,0.054,0-95,,18/05/2020,24/05/2020,non-COVID hospital outpatients,multiplex method (Sci LifeLab/KTH),0.989,0.994,,NA,NA,test performance,https://www.folkhalsomyndigheten.se/contentassets/9c5893f84bd049e691562b9eeb0ca280/pavisning-antikroppar-genomgangen-covid-19-blodprov-oppenvarden-delrapport-1.pdf,
Sweden,Sweden,Sweden-1,1200,67,0.056,0-95,,25/05/2020,31/05/2020,non-COVID hospital outpatients,multiplex method (Sci LifeLab/KTH),0.989,0.994,,NA,NA,test performance,https://www.folkhalsomyndigheten.se/contentassets/9c5893f84bd049e691562b9eeb0ca280/pavisning-antikroppar-genomgangen-covid-19-blodprov-oppenvarden-delrapport-1.pdf,
Sweden,Sweden,Sweden-1,1200,84,0.07,0-95,,01/06/2020,07/06/2020,non-COVID hospital outpatients,multiplex method (Sci LifeLab/KTH),0.989,0.994,,NA,NA,test performance,https://www.folkhalsomyndigheten.se/contentassets/9c5893f84bd049e691562b9eeb0ca280/pavisning-antikroppar-genomgangen-covid-19-blodprov-oppenvarden-delrapport-1.pdf,
Sweden,Sweden,Sweden-1,1200,67,0.056,0-95,,08/06/2020,14/06/2020,non-COVID hospital outpatients,multiplex method (Sci LifeLab/KTH),0.989,0.994,,NA,NA,test performance,https://www.folkhalsomyndigheten.se/contentassets/9c5893f84bd049e691562b9eeb0ca280/pavisning-antikroppar-genomgangen-covid-19-blodprov-oppenvarden-delrapport-1.pdf,
Sweden,Sweden,Sweden-2,400,2,0.006,18-75,,20/04/2020,26/04/2020,blood donors,multiplex method (Sci LifeLab/KTH),0.989,0.994,,NA,NA,test performance,https://www.folkhalsomyndigheten.se/contentassets/376f9021a4c84da08de18ac597284f0c/pavisning-antikroppar-genomgangen-covid-19-blodgivare-delrapport-2.pdf,
Sweden,Sweden,Sweden-2,400,10,0.026,18-75,,27/04/2020,03/05/2020,blood donors,multiplex method (Sci LifeLab/KTH),0.989,0.994,,NA,NA,test performance,https://www.folkhalsomyndigheten.se/contentassets/376f9021a4c84da08de18ac597284f0c/pavisning-antikroppar-genomgangen-covid-19-blodgivare-delrapport-2.pdf,
Sweden,Sweden,Sweden-2,400,12,0.029,18-75,,04/05/2020,10/05/2020,blood donors,multiplex method (Sci LifeLab/KTH),0.989,0.994,,NA,NA,test performance,https://www.folkhalsomyndigheten.se/contentassets/376f9021a4c84da08de18ac597284f0c/pavisning-antikroppar-genomgangen-covid-19-blodgivare-delrapport-2.pdf,
Sweden,Sweden,Sweden-2,400,21,0.052,18-75,,11/05/2020,17/05/2020,blood donors,multiplex method (Sci LifeLab/KTH),0.989,0.994,,NA,NA,test performance,https://www.folkhalsomyndigheten.se/contentassets/376f9021a4c84da08de18ac597284f0c/pavisning-antikroppar-genomgangen-covid-19-blodgivare-delrapport-2.pdf,
Sweden,Sweden,Sweden-2,400,20,0.051,18-75,,18/05/2020,24/05/2020,blood donors,multiplex method (Sci LifeLab/KTH),0.989,0.994,,NA,NA,test performance,https://www.folkhalsomyndigheten.se/contentassets/376f9021a4c84da08de18ac597284f0c/pavisning-antikroppar-genomgangen-covid-19-blodgivare-delrapport-2.pdf,
Sweden,Sweden,Sweden-2,400,16,0.041,18-75,,25/05/2020,31/05/2020,blood donors,multiplex method (Sci LifeLab/KTH),0.989,0.994,,NA,NA,test performance,https://www.folkhalsomyndigheten.se/contentassets/376f9021a4c84da08de18ac597284f0c/pavisning-antikroppar-genomgangen-covid-19-blodgivare-delrapport-2.pdf,
Sweden,Sweden,Sweden-2,400,21,0.052,18-75,,01/06/2020,07/06/2020,blood donors,multiplex method (Sci LifeLab/KTH),0.989,0.994,,NA,NA,test performance,https://www.folkhalsomyndigheten.se/contentassets/376f9021a4c84da08de18ac597284f0c/pavisning-antikroppar-genomgangen-covid-19-blodgivare-delrapport-2.pdf,
Sweden,Sweden,Sweden-2,400,28,0.071,18-75,,08/06/2020,14/06/2020,blood donors,multiplex method (Sci LifeLab/KTH),0.989,0.994,,NA,NA,test performance,https://www.folkhalsomyndigheten.se/contentassets/376f9021a4c84da08de18ac597284f0c/pavisning-antikroppar-genomgangen-covid-19-blodgivare-delrapport-2.pdf,
Slovenia,Slovenia,Slovenia,1318,30,0.023,0-99,,10/04/2020,10/04/2020,general population,NA,NA,NA,,41,0.031,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7367804/,https://www.gov.si/en/news/2020-05-06-first-study-carried-out-on-herd-immunity-of-the-population-in-the-whole-territory-of-slovenia/
Czech Republic,Czech Republic,Czech Republic,26549,106,0.004,18-89,,23/04/2020,01/05/2020,general population,Wantai ELISA,0.95,1,,107,0.004,,https://koronavirus.mzcr.cz/infekce-covid-19-prosla-ceskou-populaci-velmi-mirne-podobne-jako-v-okolnich-zemich/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7367804/
Luxembourg,Luxembourg,Luxembourg,1862,24,0.013,18-79,IgG/IgA,15/04/2020,05/05/2020,general population,EuroImmun ELISA,0.857,0.995,positive to both IgA and IgG,30,0.016,population demographics,https://www.medrxiv.org/content/10.1101/2020.05.11.20092916v1.full.pdf,
Brazil,Rio de Janeiro State,Rio de Janeiro State,1565,44,0.028,18-69,IgG/IgM,14/04/2020,18/04/2020,blood donors,rapid immunochromatographic assay (MedLevensohn),0.85,0.99,positive to IgG OR IgM,47,0.0166,test performance and population demographics,https://preprints.scielo.org/index.php/scielo/preprint/view/404,
Brazil,Rio de Janeiro State,Rio de Janeiro State,623,28,0.045,18-69,IgG/IgM,19/04/2020,23/04/2020,blood donors,rapid immunochromatographic assay (MedLevensohn),0.85,0.99,positive to IgG OR IgM,27,0.0321,test performance and population demographics,,
Brazil,Rio de Janeiro State,Rio de Janeiro State,669,35,0.053,18-69,IgG/IgM,24/04/2020,27/04/2020,blood donors,rapid immunochromatographic assay (MedLevensohn),0.85,0.99,positive to IgG OR IgM,40,0.0433,test performance and population demographics,,
Netherlands,Netherlands,Netherlands-1,7361,199,0.027,18-72,IgG/IgM/IgA,01/04/2020,15/04/2020,blood donors,Wantai ELISA,0.86,0.996,,230,0.031,test performance,https://www.researchsquare.com/article/rs-25862/v1,
Netherlands,Netherlands,Netherlands-2,2096,65,0.031,2+,,01/04/2020,17/04/2020,general population,luminex assay,0.85,0.99,,,,,https://www.rivm.nl/en/novel-coronavirus-covid-19/children-and-covid-19,
Netherlands,Netherlands,Netherlands-3,7150,400,0.056,18-72,IgG/IgM/IgA,11/05/2020,18/05/2020,blood donors,Wantai ELISA,0.987,0.996,,419,0.059,,https://www.medrxiv.org/content/10.1101/2020.08.10.20171561v1.full.pdf+html,
England,England,England-1,1757,95,0.054,16+,IgG,26/04/2020,13/06/2020,general population,novel IgG ELISA (University of Oxford),0.991,0.99,,,,,https://www.ons.gov.uk/peoplepopulationandcommunity/healthandsocialcare/conditionsanddiseases/bulletins/coronaviruscovid19infectionsurveypilot/18june2020#antibody-data,
United States of America,New York State,New York State,15101,2114,0.14,18+,IgG,19/04/2020,28/04/2020,general population,mircrosphere immunoassay,0.879,0.9975,,1887,0.125,test performance,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7297691/,
United States of America,New York City,New York City,5946,1350,0.227,18+,IgG,19/04/2020,28/04/2020,general population,mircrosphere immunoassay,0.879,0.9975,,1319,0.222,test performance,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7297691/,
Portugal,Portugal,Portugal,2301,62,0.027,1+,IgG/IgM,21/05/2020,08/07/2020,general population,EuroImmun ELISA & Wantai ELISA,0.93,0.992,positive to IgG OR IgM,67,0.029,population demographics,http://www.insa.min-saude.pt/wp-content/uploads/2020/08/ISN_COVID19_Relatorio_06_08_2020.pdf,
Italy,Italy,Italy,64660,1681,0.026,0+,IgG,25/05/2020,15/07/2020,general population,Abbott ELISA,0.927,0.999,,,,,https://www.istat.it/it/files/2020/08/ReportPrimiRisultatiIndagineSiero.pdf,
Hungary,Hungary,Hungary,10406,62,0.006,14+,IgG,01/05/2020,16/05/2020,general population,Abbott ELISA,0.927,0.999,,69,0.0067,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7366154/,
England,England,England-2,109076,6545,0.06,18+,IgG,20/06/2020,13/07/2020,general population,lateral flow immunoassay,0.844,0.986,,5544,0.050826946,population demographics & test performance,https://www.medrxiv.org/content/10.1101/2020.08.12.20173690v2,
Scotland,Scotland,Scotland-2,443,30,0.068,0+,,20/04/2020,26/04/2020,general population using blood samples already collected for other purposes,NA,NA,NA,,NA,NA,test performance,https://beta.isdscotland.org/find-publications-and-data/population-health/covid-19/enhanced-surveillance-of-covid-19-in-scotland/,
Scotland,Scotland,Scotland-2,543,23,0.043,0+,,27/04/2020,03/05/2020,general population using blood samples already collected for other purposes,NA,NA,NA,,NA,NA,test performance,https://beta.isdscotland.org/find-publications-and-data/population-health/covid-19/enhanced-surveillance-of-covid-19-in-scotland/,
Scotland,Scotland,Scotland-2,530,16,0.031,0+,,04/05/2020,10/05/2020,general population using blood samples already collected for other purposes,NA,NA,NA,,NA,NA,test performance,https://beta.isdscotland.org/find-publications-and-data/population-health/covid-19/enhanced-surveillance-of-covid-19-in-scotland/,
Scotland,Scotland,Scotland-2,521,14,0.026,0+,,11/05/2020,17/05/2020,general population using blood samples already collected for other purposes,NA,NA,NA,,NA,NA,test performance,https://beta.isdscotland.org/find-publications-and-data/population-health/covid-19/enhanced-surveillance-of-covid-19-in-scotland/,
Scotland,Scotland,Scotland-2,547,10,0.019,0+,,18/05/2020,24/05/2020,general population using blood samples already collected for other purposes,NA,NA,NA,,NA,NA,test performance,https://beta.isdscotland.org/find-publications-and-data/population-health/covid-19/enhanced-surveillance-of-covid-19-in-scotland/,
Scotland,Scotland,Scotland-2,527,15,0.029,0+,,25/05/2020,30/05/2020,general population using blood samples already collected for other purposes,NA,NA,NA,,NA,NA,test performance,https://beta.isdscotland.org/find-publications-and-data/population-health/covid-19/enhanced-surveillance-of-covid-19-in-scotland/,
Scotland,Scotland,Scotland-2,544,20,0.037,0+,,01/06/2020,07/06/2020,general population using blood samples already collected for other purposes,NA,NA,NA,,NA,NA,test performance,https://beta.isdscotland.org/find-publications-and-data/population-health/covid-19/enhanced-surveillance-of-covid-19-in-scotland/,
Scotland,Scotland,Scotland-2,553,29,0.052,0+,,08/06/2020,14/06/2020,general population using blood samples already collected for other purposes,NA,NA,NA,,NA,NA,test performance,https://beta.isdscotland.org/find-publications-and-data/population-health/covid-19/enhanced-surveillance-of-covid-19-in-scotland/,
Scotland,Scotland,Scotland-2,536,24,0.044,0+,,15/06/2020,21/06/2020,general population using blood samples already collected for other purposes,NA,NA,NA,,NA,NA,test performance,https://beta.isdscotland.org/find-publications-and-data/population-health/covid-19/enhanced-surveillance-of-covid-19-in-scotland/,
Kenya,Kenya,Kenya,3098,161,0.052,15-64,IgG,30/04/2020,16/06/2020,blood donors,adapted Krammer IgG ELISA,0.83,0.99,,174,0.056,population demographics & test performance,https://www.medrxiv.org/content/10.1101/2020.07.27.20162693v1.article-metrics,
