country,region,study,n,n_pos,seroprev,ciL,ciU,agerange,measure,tmin,tmax,population,assay,sens,spec,notes,adjusted,source
Italy,Milan,5,543,,0.071,0.044,0.108,18-70,IgG/IgM,16/03/2020,08/04/2020,blood donors,lateral flow immunoassay,98.30%,100%,,,https://www.medrxiv.org/content/10.1101/2020.05.11.20098442v1.full.pdf+html
Denmark,Denmark,6,4072,61,0.015,0.007,0.023,17-69,IgG/IgM,06/04/2020,08/04/2020,blood donors,lateral flow immunoassay,82.58%,99.54%,,test performance,https://www.medrxiv.org/content/10.1101/2020.04.24.20075291v1.full.pdf
Denmark,Denmark,6,5326,101,0.019,0.012,0.027,17-69,IgG/IgM,14/04/2020,19/04/2020,blood donors,,,,,,https://bloddonor.dk/coronavirus/
Denmark,Denmark,7,5820,93,0.016,0.008,0.023,17-69,IgG/IgM,20/04/2020,26/04/2020,blood donors,,,,,,https://bloddonor.dk/coronavirus/
Denmark,Denmark,7,5422,130,0.024,0.015,0.032,17-69,IgG/IgM,27/04/2020,03/05/2020,blood donors,,,,,,https://bloddonor.dk/coronavirus/
Denmark,Denmark,8,1071,12,0.011,0.005,0.018,18+,IgG,,,general population,,,,,,https://www.ssi.dk/aktuelt/nyheder/2020/de-forste-forelobige-resultater-af-undersogelsen-for-covid-19-i-befolkningen-er-nu-klar
Spain,Spain,9,61075,3054,0.05,0.047,0.054,0+,IgG,17/04/2020,11/05/2020,general population,rapid immunochromatography test (Orient Gene),79%,100%,results are derived from the rapid IgG test in this initial report. Reported too much variability of the IgM test and mentions validation results with an IgG immunoassay are in progress,,https://www.ciencia.gob.es/stfls/MICINN/Ministerio/FICHEROS/INFORME_SEGUNDA_RONDA.pdf
France,France,10,3221,36,0.0111,0.0006,0.0217,0+,,09/03/2020,15/03/2020,general population,,,,,,
France,France,10,3084,208,0.0673,0.0536,0.0811,0+,,06/04/2020,12/04/2020,general population,,,,,,
France,France,10,3221,0,0,,,0+,,09/03/2020,15/03/2020,,,,,,,
France,France,10,3084,89,0.029,0.0116,0.0342,0+,,06/04/2020,12/04/2020,,,,,,,
Sweden,Sweden,11,1200,66,0.055,0.0398,0.0727,0-95,,27/04/2020,03/05/2020,non-COVID hospital outpatients,multiplex method,,,"the exact number of samples is not reported, states 'approx 1200 per week'",,https://www.folkhalsomyndigheten.se/contentassets/9c5893f84bd049e691562b9eeb0ca280/pavisning-antikroppar-genomgangen-covid-19-blodprov-oppenvarden-delrapport-1.pdf
Sweden,Sweden,11,1200,58,0.048,0.0346,0.0645,0-95,,04/05/2020,10/05/2020,non-COVID hospital outpatients,multiplex method,,,"the exact number of samples is not reported, states 'approx 1200 per week'",,https://www.folkhalsomyndigheten.se/contentassets/9c5893f84bd049e691562b9eeb0ca280/pavisning-antikroppar-genomgangen-covid-19-blodprov-oppenvarden-delrapport-1.pdf
Sweden,Sweden,11,1200,73,0.061,0.0457,0.0789,0-95,,11/05/2020,17/05/2020,non-COVID hospital outpatients,multiplex method,,,"the exact number of samples is not reported, states 'approx 1200 per week'",,https://www.folkhalsomyndigheten.se/contentassets/9c5893f84bd049e691562b9eeb0ca280/pavisning-antikroppar-genomgangen-covid-19-blodprov-oppenvarden-delrapport-1.pdf
Sweden,Sweden,11,1200,76,0.063,0.0476,0.0824,0-95,,18/05/2020,24/05/2020,non-COVID hospital outpatients,multiplex method,,,"the exact number of samples is not reported, states 'approx 1200 per week'",,https://www.folkhalsomyndigheten.se/contentassets/9c5893f84bd049e691562b9eeb0ca280/pavisning-antikroppar-genomgangen-covid-19-blodprov-oppenvarden-delrapport-1.pdf
Sweden,Stokholm,11,,,0.079,0.0504,0.1177,0-95,,27/04/2020,03/05/2020,non-COVID hospital outpatients,multiplex method,,,,,https://www.folkhalsomyndigheten.se/contentassets/9c5893f84bd049e691562b9eeb0ca280/pavisning-antikroppar-genomgangen-covid-19-blodprov-oppenvarden-delrapport-1.pdf
Sweden,Stokholm,11,,,0.074,0.0464,0.11,0-95,,04/05/2020,10/05/2020,non-COVID hospital outpatients,multiplex method,,,,,https://www.folkhalsomyndigheten.se/contentassets/9c5893f84bd049e691562b9eeb0ca280/pavisning-antikroppar-genomgangen-covid-19-blodprov-oppenvarden-delrapport-1.pdf
Sweden,Stokholm,11,,,0.102,0.0706,0.1418,0-95,,11/05/2020,17/05/2020,non-COVID hospital outpatients,multiplex method,,,,,https://www.folkhalsomyndigheten.se/contentassets/9c5893f84bd049e691562b9eeb0ca280/pavisning-antikroppar-genomgangen-covid-19-blodprov-oppenvarden-delrapport-1.pdf
Sweden,Stokholm,11,,,0.1,0.0671,0.142,0-95,,18/05/2020,24/05/2020,non-COVID hospital outpatients,multiplex method,,,,,https://www.folkhalsomyndigheten.se/contentassets/9c5893f84bd049e691562b9eeb0ca280/pavisning-antikroppar-genomgangen-covid-19-blodprov-oppenvarden-delrapport-1.pdf
Slovenia,Slovenia,12,1318,41,0.031107739,,,,,10/04/2020,10/04/2020,,,,,,,
Czech Republic,Czech Republic,13,26549,107,0.004030284,,,,,23/04/2020,01/05/2020,general population,,,,,,https://koronavirus.mzcr.cz/infekce-covid-19-prosla-ceskou-populaci-velmi-mirne-podobne-jako-v-okolnich-zemich/
Luxembourg,Luxembourg,14,1862,35,0.018796992,,,18-79,IgG,15/04/2020,05/05/2020,general population,EuroImmun ELISA,85.70%,97.80%,,,https://www.medrxiv.org/content/10.1101/2020.05.11.20092916v1.full.pdf
Brazil,Rio de Janeiro State,15,2857,,0.033,0.026,0.041,18-69,IgG/IgM,14/04/2020,27/04/2020,blood donors,rapid immunochromatographic assay (MedLevensohn),,99.16%,,test performance & population demographics,https://preprints.scielo.org/index.php/scielo/preprint/view/404
Japan,Kobe,16,1000,,0.027,0.018,0.039,0+,IgG,31/03/2020,07/04/2020,hospital outpatients (non-fever related visits),immunochromatographic IgG test (KURABO Industries),,,doesn't mention test spec or sens,age & sex of Kobe ,https://www.medrxiv.org/content/10.1101/2020.04.26.20079822v2
Netherlands,Netherlands,17,7361,200,0.027,0.024,0.031,18-72,IgG/IgM/IgA,01/04/2020,15/04/2020,blood donors,ELISA (Wantai),86%,99.60%,**calculated own exact binom 95% CI's (200/7361). eligibility required donor to be healthy but allowed those with previous illness provided they had recovered at least 2 weeks prior to donation,,https://www.researchsquare.com/article/rs-25862/v1
Netherlands,Netherlands,18,2096,75,0.036,,,,,01/04/2020,17/04/2020,,,,,,,https://www.rivm.nl/en/novel-coronavirus-covid-19/children-and-covid-19
England,England,19,1757,95,0.054,0.043,0.065,2+,,26/04/2020,13/06/2020,general population,,,,,,https://www.ons.gov.uk/peoplepopulationandcommunity/healthandsocialcare/conditionsanddiseases/bulletins/coronaviruscovid19infectionsurveypilot/18june2020#antibody-data
United States of America,New York State,20,15101,2114,0.14,0.133,0.147,18+,IgG,19/04/2020,28/04/2020,general population,mircrosphere immunoassay,87.90%,99.75%,population was a convenience sample of people attending grocery stores,test performance,https://www.medrxiv.org/content/10.1101/2020.05.25.20113050v1.full.pdf
United States of America,New York City,20,5946,1350,0.227,0.215,0.24,18+,IgG,19/04/2020,28/04/2020,general population,mircrosphere immunoassay,87.90%,99.75%,population was a convenience sample of people attending grocery stores,test performance,https://www.medrxiv.org/content/10.1101/2020.05.25.20113050v1.full.pdf
China,Wuhan,21,565,,0.035,0.022,0.054,,IgG/IgM,09/03/2020,10/04/2020,hotel staff and relatives of HCWs,magnetic chemiluminescence enzyme immunoassay (Bioscience),,,,,https://www.nature.com/articles/s41591-020-0949-6
Spain,Andalucia,9,9726,,0.027,0.022,0.032,0+,IgG,17/04/2020,11/05/2020,general population,rapid immunochromatography test (Orient Gene),79%,100%,results are derived from the rapid IgG test in this initial report. Reported too much variability of the IgM test and mentions validation results with an IgG immunoassay are in progress,,https://www.mscbs.gob.es/gabinetePrensa/notaPrensa/pdf/13.05130520204528614.pdf
Spain,Aragon,9,2748,,0.049,0.038,0.063,0+,IgG,17/04/2020,11/05/2020,general population,rapid immunochromatography test (Orient Gene),79%,100%,results are derived from the rapid IgG test in this initial report. Reported too much variability of the IgM test and mentions validation results with an IgG immunoassay are in progress,,https://www.mscbs.gob.es/gabinetePrensa/notaPrensa/pdf/13.05130520204528614.pdf
Spain,Asturias,9,1545,,0.018,0.013,0.025,0+,IgG,17/04/2020,11/05/2020,general population,rapid immunochromatography test (Orient Gene),79%,100%,results are derived from the rapid IgG test in this initial report. Reported too much variability of the IgM test and mentions validation results with an IgG immunoassay are in progress,,https://www.mscbs.gob.es/gabinetePrensa/notaPrensa/pdf/13.05130520204528614.pdf
Spain,Illes Baleares,9,1356,,0.024,0.016,0.035,0+,IgG,17/04/2020,11/05/2020,general population,rapid immunochromatography test (Orient Gene),79%,100%,results are derived from the rapid IgG test in this initial report. Reported too much variability of the IgM test and mentions validation results with an IgG immunoassay are in progress,,https://www.mscbs.gob.es/gabinetePrensa/notaPrensa/pdf/13.05130520204528614.pdf
Spain,Canarias,9,2324,,0.018,0.011,0.028,0+,IgG,17/04/2020,11/05/2020,general population,rapid immunochromatography test (Orient Gene),79%,100%,results are derived from the rapid IgG test in this initial report. Reported too much variability of the IgM test and mentions validation results with an IgG immunoassay are in progress,,https://www.mscbs.gob.es/gabinetePrensa/notaPrensa/pdf/13.05130520204528614.pdf
Spain,Cantabria,9,1504,,0.032,0.021,0.05,0+,IgG,17/04/2020,11/05/2020,general population,rapid immunochromatography test (Orient Gene),79%,100%,results are derived from the rapid IgG test in this initial report. Reported too much variability of the IgM test and mentions validation results with an IgG immunoassay are in progress,,https://www.mscbs.gob.es/gabinetePrensa/notaPrensa/pdf/13.05130520204528614.pdf
Spain,Castilla y Leon,9,6949,,0.072,0.063,0.081,0+,IgG,17/04/2020,11/05/2020,general population,rapid immunochromatography test (Orient Gene),79%,100%,results are derived from the rapid IgG test in this initial report. Reported too much variability of the IgM test and mentions validation results with an IgG immunoassay are in progress,,https://www.mscbs.gob.es/gabinetePrensa/notaPrensa/pdf/13.05130520204528614.pdf
Spain,Castilla La Mancha,9,5066,,0.108,0.093,0.124,0+,IgG,17/04/2020,11/05/2020,general population,rapid immunochromatography test (Orient Gene),79%,100%,results are derived from the rapid IgG test in this initial report. Reported too much variability of the IgM test and mentions validation results with an IgG immunoassay are in progress,,https://www.mscbs.gob.es/gabinetePrensa/notaPrensa/pdf/13.05130520204528614.pdf
Spain,Cataluna,9,6318,,0.059,0.049,0.069,0+,IgG,17/04/2020,11/05/2020,general population,rapid immunochromatography test (Orient Gene),79%,100%,results are derived from the rapid IgG test in this initial report. Reported too much variability of the IgM test and mentions validation results with an IgG immunoassay are in progress,,https://www.mscbs.gob.es/gabinetePrensa/notaPrensa/pdf/13.05130520204528614.pdf
Spain,Comunitat Valencia,9,4286,,0.025,0.019,0.032,0+,IgG,17/04/2020,11/05/2020,general population,rapid immunochromatography test (Orient Gene),79%,100%,results are derived from the rapid IgG test in this initial report. Reported too much variability of the IgM test and mentions validation results with an IgG immunoassay are in progress,,https://www.mscbs.gob.es/gabinetePrensa/notaPrensa/pdf/13.05130520204528614.pdf
Spain,Extremadura,9,2787,,0.03,0.022,0.041,0+,IgG,17/04/2020,11/05/2020,general population,rapid immunochromatography test (Orient Gene),79%,100%,results are derived from the rapid IgG test in this initial report. Reported too much variability of the IgM test and mentions validation results with an IgG immunoassay are in progress,,https://www.mscbs.gob.es/gabinetePrensa/notaPrensa/pdf/13.05130520204528614.pdf
Spain,Galicia,9,4070,,0.021,0.017,0.026,0+,IgG,17/04/2020,11/05/2020,general population,rapid immunochromatography test (Orient Gene),79%,100%,results are derived from the rapid IgG test in this initial report. Reported too much variability of the IgM test and mentions validation results with an IgG immunoassay are in progress,,https://www.mscbs.gob.es/gabinetePrensa/notaPrensa/pdf/13.05130520204528614.pdf
Spain,Madrid,9,3185,,0.113,0.098,0.13,0+,IgG,17/04/2020,11/05/2020,general population,rapid immunochromatography test (Orient Gene),79%,100%,results are derived from the rapid IgG test in this initial report. Reported too much variability of the IgM test and mentions validation results with an IgG immunoassay are in progress,,https://www.mscbs.gob.es/gabinetePrensa/notaPrensa/pdf/13.05130520204528614.pdf
Spain,Murcia,9,1387,,0.014,0.008,0.024,0+,IgG,17/04/2020,11/05/2020,general population,rapid immunochromatography test (Orient Gene),79%,100%,results are derived from the rapid IgG test in this initial report. Reported too much variability of the IgM test and mentions validation results with an IgG immunoassay are in progress,,https://www.mscbs.gob.es/gabinetePrensa/notaPrensa/pdf/13.05130520204528614.pdf
Spain,Navarra,9,1737,,0.058,0.043,0.076,0+,IgG,17/04/2020,11/05/2020,general population,rapid immunochromatography test (Orient Gene),79%,100%,results are derived from the rapid IgG test in this initial report. Reported too much variability of the IgM test and mentions validation results with an IgG immunoassay are in progress,,https://www.mscbs.gob.es/gabinetePrensa/notaPrensa/pdf/13.05130520204528614.pdf
Spain,Pais Vasco,9,2830,,0.04,0.031,0.052,0+,IgG,17/04/2020,11/05/2020,general population,rapid immunochromatography test (Orient Gene),79%,100%,results are derived from the rapid IgG test in this initial report. Reported too much variability of the IgM test and mentions validation results with an IgG immunoassay are in progress,,https://www.mscbs.gob.es/gabinetePrensa/notaPrensa/pdf/13.05130520204528614.pdf
Spain,Rioja,9,1323,,0.033,0.024,0.044,0+,IgG,17/04/2020,11/05/2020,general population,rapid immunochromatography test (Orient Gene),79%,100%,results are derived from the rapid IgG test in this initial report. Reported too much variability of the IgM test and mentions validation results with an IgG immunoassay are in progress,,https://www.mscbs.gob.es/gabinetePrensa/notaPrensa/pdf/13.05130520204528614.pdf
Spain,Ceuta,9,829,,0.011,0.005,0.023,0+,IgG,17/04/2020,11/05/2020,general population,rapid immunochromatography test (Orient Gene),79%,100%,results are derived from the rapid IgG test in this initial report. Reported too much variability of the IgM test and mentions validation results with an IgG immunoassay are in progress,,https://www.mscbs.gob.es/gabinetePrensa/notaPrensa/pdf/13.05130520204528614.pdf
Spain,Melilla,9,927,,0.019,0.012,0.029,0+,IgG,17/04/2020,11/05/2020,general population,rapid immunochromatography test (Orient Gene),79%,100%,results are derived from the rapid IgG test in this initial report. Reported too much variability of the IgM test and mentions validation results with an IgG immunoassay are in progress,,https://www.mscbs.gob.es/gabinetePrensa/notaPrensa/pdf/13.05130520204528614.pdf
